日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量
2013/12/16,2.322,2.416,2.322,2.408,169.78,70514300
2013/12/17,2.419,2.437,2.419,2.434,79.97,32926700
2013/12/18,2.4,2.43,2.4,2.42,43.02,17775100
2013/12/19,2.269,2.407,2.269,2.401,18.85,7868800
2013/12/20,2.35,2.355,2.341,2.354,19.14,8143100
2013/12/23,2.36,2.38,2.36,2.38,17.18,7250900
2013/12/24,2.415,2.42,2.363,2.37,4.31,1815400
2013/12/25,2.369,2.386,2.369,2.386,30.08,12631400
2013/12/26,2.379,2.388,2.378,2.386,25.81,10823100
2013/12/27,2.3,2.405,2.3,2.403,20.86,8701700
2013/12/30,2.381,2.4,2.378,2.39,12.15,5077100
2013/12/31,2.362,2.374,2.362,2.373,11.5,4861500
2014/1/2,2.371,2.409,2.371,2.409,13.36,5588100
2014/1/3,2.412,2.434,2.412,2.429,12.07,4992600
2014/1/6,2.43,2.446,2.43,2.44,14.41,5903500
2014/1/7,2.441,2.449,2.437,2.44,8.46,3462500
2014/1/8,2.44,2.441,2.411,2.418,3.45,1425000
2014/1/9,2.412,2.418,2.41,2.418,0.5,207500
2014/1/10,2.416,2.434,2.416,2.434,1.78,734800
2014/1/13,2.448,2.456,2.447,2.45,17.29,7049600
2014/1/14,2.483,2.484,2.447,2.455,6.92,2818200
2014/1/15,2.431,2.438,2.428,2.438,1.12,459900
2014/1/16,2.428,2.439,2.428,2.439,1.8,740800
2014/1/17,2.43,2.44,2.43,2.438,3.6,1474900
2014/1/20,2.453,2.459,2.453,2.459,9.04,3679300
2014/1/21,2.431,2.459,2.431,2.457,5.3,2155600
2014/1/22,2.42,2.445,2.42,2.432,1.32,541200
2014/1/23,2.422,2.428,2.419,2.423,2.66,1098000
2014/1/24,2.445,2.464,2.445,2.461,9.56,3886100
2014/1/27,2.461,2.486,2.461,2.48,6.79,2733500
2014/1/28,2.44,2.462,2.44,2.457,1.96,798500
2014/1/29,2.452,2.452,2.443,2.447,1.25,510600
2014/1/30,2.46,2.47,2.454,2.457,0.42,171200
2014/2/7,2.458,2.47,2.31,2.462,3.34,1357700
2014/2/10,2.462,2.485,2.43,2.485,7.03,2837300
2014/2/11,2.489,2.51,2.489,2.507,3.8,1518200
2014/2/12,2.51,2.52,2.508,2.511,3.2,1274100
2014/2/13,2.505,2.522,2.505,2.513,1.36,541400
2014/2/14,2.519,2.73,2.519,2.553,3.29,1294900
2014/2/17,2.583,2.598,2.583,2.595,1.46,563500
2014/2/18,2.585,2.586,2.56,2.572,1.32,513700
2014/2/19,2.562,2.578,2.562,2.575,1.54,598100
2014/2/20,2.576,2.576,2.56,2.568,0.58,227100
2014/2/21,2.574,2.58,2.574,2.58,0.73,283200
2014/2/24,2.58,2.598,2.579,2.593,1.5,581100
2014/2/25,2.61,2.619,2.59,2.608,1.27,484700
2014/2/26,2.63,2.645,2.621,2.644,1.91,726800
2014/2/27,2.63,2.63,2.593,2.596,1.15,441200
2014/2/28,2.607,2.622,2.606,2.618,0.82,312200
2014/3/3,2.648,2.649,2.631,2.644,1.61,610000
2014/3/4,2.656,2.723,2.631,2.632,5.09,1908200
2014/3/5,2.62,2.63,2.62,2.623,2.17,825700
2014/3/6,2.625,2.629,2.615,2.616,0.69,264000
2014/3/7,2.641,2.649,2.64,2.64,2.24,845800
2014/3/10,2.615,2.62,2.599,2.603,2.03,775300
2014/3/11,2.617,2.634,2.617,2.63,0.78,295100
2014/3/12,2.636,2.68,2.636,2.672,2.49,934300
2014/3/13,2.699,2.699,2.68,2.68,8.82,3278200
2014/3/14,2.708,2.708,2.685,2.685,0.4,147900
2014/3/17,2.709,2.718,2.698,2.718,1.16,429200
2014/3/18,2.71,2.71,2.6,2.675,0.77,286800
2014/3/19,2.655,2.679,2.655,2.679,1.1,413400
2014/3/20,2.659,2.659,2.625,2.64,0.68,256900
2014/3/21,2.639,2.649,2.635,2.64,1.14,433000
2014/3/24,2.64,2.64,2.623,2.629,0.62,237500
2014/3/25,2.612,2.612,2.586,2.6,0.83,318200
2014/3/26,2.595,2.605,2.594,2.6,0.4,153800
2014/3/27,2.578,2.585,2.576,2.582,0.78,301900
2014/3/28,2.582,2.582,2.558,2.57,0.47,184300
2014/3/31,2.568,2.6,2.553,2.558,0.16,62500
2014/4/1,2.541,2.546,2.532,2.538,0.35,137600
2014/4/2,2.538,2.545,2.535,2.544,0.24,95800
2014/4/3,2.555,2.568,2.553,2.558,0.22,86000
2014/4/4,2.548,2.561,2.546,2.557,0.1,39600
2014/4/8,2.578,2.599,2.572,2.597,0.25,95500
2014/4/9,2.596,2.603,2.582,2.59,0.38,147500
2014/4/10,2.599,2.606,2.598,2.604,0.24,92100
2014/4/11,2.596,2.615,2.596,2.611,0.19,73500
2014/4/14,2.619,2.633,2.619,2.628,0.31,119600
2014/4/15,2.615,2.625,2.594,2.594,0.43,164700
2014/4/16,2.567,2.576,2.562,2.576,0.3,115800
2014/4/17,2.576,2.577,2.556,2.556,0.21,81600
2014/4/18,2.55,2.565,2.543,2.565,0.83,323000
2014/4/21,2.552,2.568,2.547,2.558,0.92,359700
2014/4/22,2.547,2.561,2.547,2.56,0.04,14100
2014/4/23,2.563,2.563,2.549,2.553,1.12,439300
2014/4/24,2.55,2.559,2.55,2.559,0.93,364500
2014/4/25,2.565,2.584,2.562,2.584,0.26,100100
2014/4/28,2.59,2.648,2.59,2.603,0.75,289000
2014/4/29,2.593,2.595,2.571,2.589,0.21,82900
2014/4/30,2.579,2.593,2.571,2.582,0.33,128000
2014/5/5,2.6,2.612,2.595,2.609,0.69,262900
2014/5/6,2.607,2.609,2.598,2.608,0.4,153700
2014/5/7,2.605,2.61,2.6,2.6,0.19,74200
2014/5/8,2.59,2.59,2.56,2.57,0.14,54400
2014/5/9,2.566,2.568,2.563,2.567,0.05,18000
2014/5/12,2.566,2.57,2.562,2.568,1.37,533800
2014/5/13,2.569,2.579,2.565,2.576,2.21,857500
2014/5/14,2.569,2.583,2.567,2.581,2.26,879700
2014/5/15,2.6,2.6,2.585,2.59,1.71,658600
2014/5/16,2.583,2.583,2.57,2.577,1.77,686600
2014/5/19,2.574,2.584,2.573,2.577,0.07,27300
2014/5/20,2.6,2.67,2.566,2.576,0.1,39000
2014/5/21,2.577,2.585,2.576,2.585,0.01,5600
2014/5/22,2.582,2.585,2.57,2.581,0.16,62400
2014/5/23,2.576,2.586,2.576,2.576,0.06,21600
2014/5/26,2.572,2.584,2.572,2.58,0.01,2000
2014/5/27,2.58,2.58,2.56,2.567,0.19,75000
2014/5/28,2.516,2.546,2.516,2.544,0.15,60200
2014/5/29,2.546,2.546,2.513,2.513,0.17,68200
2014/5/30,2.515,2.521,2.505,2.513,0.31,123300
2014/6/3,2.482,2.498,2.482,2.49,0.09,36100
2014/6/4,2.494,2.494,2.479,2.49,0.69,276900
2014/6/5,2.482,2.49,2.482,2.486,0.08,33300
2014/6/6,2.502,2.512,2.5,2.512,0.18,70600
2014/6/9,2.512,2.512,2.502,2.506,0.07,28600
2014/6/10,2.507,2.507,2.49,2.507,0.55,221400
2014/6/11,2.51,2.51,2.506,2.506,0.01,3000
2014/6/12,2.506,2.51,2.5,2.502,0.06,25200
2014/6/13,2.52,2.524,2.508,2.519,0.07,28400
2014/6/16,2.528,2.536,2.525,2.532,0.13,51100
2014/6/17,2.514,2.519,2.509,2.509,0.01,2500
2014/6/18,2.493,2.516,2.493,2.516,0.15,57700
2014/6/19,2.524,2.536,2.523,2.535,0.84,330300
2014/6/20,2.576,2.657,2.576,2.602,0.67,257800
2014/6/23,2.602,2.615,2.59,2.615,0.36,137600
2014/6/24,2.601,2.61,2.601,2.606,0.13,49000
2014/6/25,2.604,2.612,2.59,2.61,0.34,131300
