words,strength,type
风险,1,1
面临,1,1
反弹,1,1
清淡,1,-1
不升反降,1,-1
新高,1,1
利空,1,-1
避险,1,1
强劲,1,1
一帆风顺,1,1
不佳,1,-1
涌入,1,1
支撑,1,1
暴跌,1,-1
熊抱,1,-1
减少,1,-1
箭在弦上,1,1
入局,1,1
上涨,1,1
衰退,1,-1
震荡,1,-1
回升,1,1
利好,1,1
加息,1,-1
应涨,1,1
大涨,1,1
恶化,1,-1
展望,1,1
胜出,1,1
走高,1,1
担忧,1,-1
飙涨,1,1
溃败,1,-1
跌破,1,-1
退潮,1,-1
下挫,1,-1
受阻,1,-1
坐收渔利,1,1
不减,1,1
上涨,1,-1
遥遥无期,1,-1
下跌,1,-1
操纵,1,-1
受益,1,1
下滑,1,-1
攀升,1,1
推高,1,1
攻势,1,1
乐观,1,1
迅速,1,1
爆发,1,1
回暖,1,1
风险,1,-1
疑虑,1,-1
回落,1,-1
跌入,1,-1
稳定,1,1
流入,1,1
创纪录,1,1
散户,1,-1
疲软,1,-1
祸不单行,1,-1
高位,1,-1
弱不禁风,1,-1
尴尬,1,-1
浑水摸鱼,1,-1
稳定上升,1,1
流出,1,-1
不确定性,1,-1
争端,1,-1
上行,1,1
引爆,1,1
涨幅,1,1
回撤,1,-1
警惕,1,-1
净流入,1,1
高估,1,-1
恐怖,1,-1
势在必得,1,1
骤降,1,-1
恐难,1,-1
无人问津,1,-1
获利,1,1
小涨,1,1
忧心,1,-1
突破,1,1
转弱,1,-1
再创新高,1,1
凌厉,1,1
有限,1,-1
死亡,1,-1
缩减,1,-1
企稳,1,1
束缚,1,-1
恐低,1,-1
姗姗来迟,1,-1
看多,1,1
收跌,1,-1
回温,1,1
强阻,1,-1
偏空,1,-1
走弱,1,-1
放缓,1,-1
弱势,1,-1
普涨,1,1
减弱,1,-1
谨慎,1,-1
火爆,1,1
破局,1,1
惨遭,1,-1
金叉,1,1
不涨反跌,1,-1
暴涨,1,1
遭遇,1,-1
有利可图,1,1
跌下来,1,-1
涨势,1,1
日高,1,1
会涨,1,1
走低,1,-1
切忌,1,-1
上升,1,1
底部,1,1
偏跌,1,-1
悬而未决,1,-1
金融风暴,1,-1
绑架,1,-1
忧虑,1,-1
狂欢,1,1
糟糕,1,-1
黑天鹅,1,1
掺假,1,-1
强势,1,1
自由落体,1,-1
发力,1,1
繁荣,1,1
混乱,1,-1
走软,1,-1
积弱,1,-1
看低,1,-1
见顶,1,-1
回踩,1,1
多单,1,1
震荡下跌,1,-1
关键支持,1,1
雪崩,1,-1
空单,1,-1
破位,1,-1
真跌,1,-1
假涨,1,1
秒跌,1,-1
做多,1,1
做空,1,-1
看涨,1,1
看跌,1,-1
不追涨,1,-1
上攻,1,1
减持,1,-1
升势,1,1
跌势,1,-1
压制,1,-1
超跌,1,1
调整,1,-1
继续空,1,-1
继续多,1,1
出货,1,-1
放空,1,-1
跌至,1,-1
布空,1,-1
